Local,UTC,JD(UTC),Interval,Accuracy,Description
2020/04/25 21:33:43.1,2020/04/26 04:33:43.1,2458965.690082,34:52:05.4,0.03,
2020/04/25 20:55:28.5,2020/04/26 03:55:28.5,2458965.663524,34:13:50.8,0.12,
2020/04/25 20:06:06.5,2020/04/26 03:06:06.5,2458965.629242,33:24:28.8,0.10,
2020/04/25 18:50:06.2,2020/04/26 01:50:06.2,2458965.576460,32:08:28.5,0.10,
2020/04/25 18:12:48.9,2020/04/26 01:12:48.9,2458965.550566,31:31:11.2,0.02,Half
2020/04/25 17:32:56.4,2020/04/26 00:32:56.4,2458965.522875,30:51:18.7,0.07,
2020/04/25 16:24:45.1,2020/04/25 23:24:45.1,2458965.475522,29:43:07.4,0.07,
2020/04/25 15:46:03.0,2020/04/25 22:46:03.0,2458965.448646,29:04:25.3,0.14,
2020/04/25 14:27:33.9,2020/04/25 21:27:33.9,2458965.394142,27:45:56.2,0.03,Half
2020/04/25 13:34:47.6,2020/04/25 20:34:47.6,2458965.357496,26:53:09.9,0.08,
2020/04/25 12:46:15.6,2020/04/25 19:46:15.6,2458965.323791,26:04:37.9,0.03,
2020/04/25 12:07:33.5,2020/04/25 19:07:33.5,2458965.296916,25:25:55.8,0.10,7
2020/04/25 02:04:47.0,2020/04/25 09:04:47.0,2458964.878321,15:23:09.3,0.04,
2020/04/25 01:49:40.9,2020/04/25 08:49:40.9,2458964.867834,15:08:03.2,0.08,
2020/04/25 00:36:17.6,2020/04/25 07:36:17.6,2458964.816871,13:54:39.9,0.15,Half
2020/04/25 00:05:20.3,2020/04/25 07:05:20.3,2458964.795374,13:23:42.6,0.07,Other half
2020/04/24 23:22:45.7,2020/04/25 06:22:45.7,2458964.765807,12:41:08.0,0.08,Half?
2020/04/24 22:40:23.3,2020/04/25 05:40:23.3,2458964.736381,11:58:45.6,0.06,
2020/04/24 21:34:49.1,2020/04/25 04:34:49.1,2458964.690846,10:53:11.4,0.03,
2020/04/24 21:08:48.5,2020/04/25 04:08:48.5,2458964.672784,10:27:10.8,0.08,Half
2020/04/24 20:35:30.4,2020/04/25 03:35:30.4,2458964.649658,9:53:52.7,0.06,
2020/04/24 19:36:36.2,2020/04/25 02:36:36.2,2458964.608752,8:54:58.5,0.05,
2020/04/24 18:24:56.4,2020/04/25 01:24:56.4,2458964.558986,7:43:18.7,0.10,
2020/04/24 17:07:25.4,2020/04/25 00:07:25.4,2458964.505156,6:25:47.7,0.03,
2020/04/24 15:52:46.0,2020/04/24 22:52:46.0,2458964.453310,5:11:08.3,0.04,
2020/04/24 13:49:27.8,2020/04/24 20:49:27.8,2458964.367682,3:07:50.1,9999,
2020/04/24 13:01:18.5,2020/04/24 20:01:18.5,2458964.334242,2:19:40.8,0.04,
2020/04/24 12:26:45.2,2020/04/24 19:26:45.2,2458964.310245,1:45:07.5,0.07,
2020/04/24 11:42:22.7,2020/04/24 18:42:22.7,2458964.279430,1:00:45.0,0.09,
2020/04/24 10:41:37.7,2020/04/24 17:41:37.7,2458964.237242,00:00:00.0,0.02,6
